Original_Index,Supplier,Lock_Reason,Extracted,Status,Corrected_Requirement
343,Liffey Meats Ltd,"4.8.2:
 The process flow, from receipt of goods to dispatch, that is implemented, maintained, reviewed don’t ensure that the microbiological, chemical and physical contamination risks of semi-finished and consequently finished products are avoided. 
 There a risk of contamination through the following parts: 
 - In the mincing line n.1 currently mincing meat the external part of the meat grinder outlet is completely rusty, and some drops of water are falling down from it to the below pool contai",4.8.2,OK,
344,Samson Cherqui CIACAM SAS,"During the technical review of the 12 August, concerning the audit of the 29 and 30/07/2025, a major non-conformity was raised on item 4.17.2 : (Downgrade from last audit): 
 During the audit, evidence of compliance with legal requirements could not be provided for the following equipment:
 - Metal bins with blue coating (in direct contact with the goods). This same equipment had already been identified during the previous audit as a deviation, hence the downgrade
 - Apron of the Westrup densime",4.17.2,OK,
349,BOUBASUD sprl,"KO om 5.11.3
 ""The corrective actions defined during the previous IFS audit and developed within the company are not sufficiently effective to prevent their recurrence. As a result, a large number of deviations following the IFS 2024 audit could not be closed during the current audit (3.2.2, 4.3.2, 4.9.4.1, 4.10.1, 4.12.1, 5.1.1, 5.1.3, 5.3.2 and 5.3.5).""
 
 and 5 Major NC's on 1.2.2, 2.3.6.1, 2.3.9.4, 4.3.2 and 4.5.2","4.5.2, 1.2.2, 4.3.2, 5.1.1, 3.2.2, 5.1.3, 4.10.1, 2.3.9.4, 5.3.2, 4.12.1, 5.3.5, 2.3.6.1, 4.9.4.1, 5.11.3",MULTIPLE,
350,Backhäusle GmbH,"Major Nonconformity 4.13.2:
 During the site visit on the first day of the audit, various insects were observed in the production area. There was a dead wasp in the gluten-free room, a live hornet near the crate washer, several houseflies, and small fruit flies in the dough production area. Some of the fruit flies were also found on the raw material (yeast) and the dough currently being processed (for Tiger Pretzels).
 Pest monitoring revealed no significant insect infestations. During the site ","5.1.1, 1.3.1, 5.11.3, 4.5.3, 4.13.2",MULTIPLE,
351,GOOD MEAT NV,"Major 4.9.4.1 : On day 1 of the audit, there were some condensation droplets on the ceiling of the portioning room. However, on day 2, significant condensation was present on the ceilings in many rooms. It turned out that two fans were not working, which was unnoticed during the line release for startup. 
 
 Following our findings, the external cooling and ventilation company immediately arrived on-site to repair the fans. Pending the adjustment of the ventilation throughout the entire productio",4.9.4.1,OK,
352,Nuovo Pastificio Vietri S.p.A.,next on site audit not planned due to insolvency,,MISSING,
353,Functional Food Grono GmbH,Closure of the GRONO production plant due to the severe crisis in the sector and the lack of competitiveness of the installed equipment.,,MISSING,
354,DESOSSATS JORDI I MARC S.L.,"During the IFS Integrity on-site audit conducted on July 23, 2025, 5 non-conformities were detected:
 
 Nº 1 - 1.2.1 KO:
 During the visit to the facilities, it was observed that several operators collect product from the floor and place it on pallets with the final product (ham rid and small pieces of ham). The product is during hours in contact with the floor.
 During the visit, three operators were interviewed, all three of whom indicated that at the end of the day, the waste on the floor is ","1.2.1, 4.10.2, 4.2.1.1, 2.1.2.1, 4.12.2",MULTIPLE,
357,Europastry (Planta Paterna) S.A.,"LRQA has been notified of 2 Major Non-conformities raised by IFS in connection with the Integrity On-site Check at the site Europastry (Planta Paterna) S.A. - COID 65237 on 28th July 2025:
 
 Requirement 4.10.2 (Major NC) 
 During the visit on-site, it was evidenced that the cleaning plan is not fully implemented. Among other aspects, it was observed:
 - Dirt accumulated under the pallets in the raw materials warehouse. According to the cleaning plan 15 MAY 2025, cleaning of floors in this area ","4.14.3, 4.10.2",MULTIPLE,
359,Mar Cabo - Produtos Congelados Lda,"The company Mar Cabo - Produtos Congelados Lda - COID 71826 received a authority visit (DGAV) on July 03, 2025, the report was released and sent to WQS last week. 
 24 Non-conformities were raised which the following below show that there are products at risk and/or legal requirements are not met (for example): 
  
 e) The walls and ceiling of the access corridor to chambers CAM 01, CAM 02, and CAM 03 had several dark spots consistent with the presence of mold; 
 f) In chamber CAM 03, water drip",,POTENTIAL_MISS,
360,Sauerlandfrische Dornseifer GmbH & Co. KG,"2.3.6.1 – Major
 The hazard analysis for ""Skin-wrapped meals, snacks, and soup bowls"" lacks the cooling process for sauces and mashed potatoes. The cooling process poses microbiological hazards if cooled too slowly; these risks have not been assessed. During the audit, a sauce for Königsberger Klopse (a German meat-ball) was found in the cold storage facility. The production date was August 11, and the sauce had a temperature of 14°C.
 Note: The sauce was immediately disposed of. The final produ","4.18.1, 4.9.4.1, 2.3.6.1, 4.3.2",MULTIPLE,
361,Chocolat Ammann AG,"The production site in Heimberg has closed today. Acquisition by Maestrani Schweizer Schokoladen AG, Flawil",,MISSING,
362,Cafrost GmbH,"3.2.2 - KO
 With regard to compliance with personal hygiene requirements, a large number of deficiencies were identi-fied during the audit:
 - A workshop employee goes directly from the workshop to production without disinfecting their hands, as is actually required. (The disinfectant dispenser required for this would not have been available on site on the first day of the audit).
 - There are a large number of cigarette butts and empty paper coffee cups outside the emergency exit doors of the p","3.2.2, 4.18.1, 4.12.1, 4.13.1",MULTIPLE,
364,VIGNOBLES ROUSSEAU SCE,Suspension of certification requested by customer,,POTENTIAL_MISS,
370,Brandt & Levie B.V.,"As of today, 01-08-2025 Certima BV withdraws the certificate number IFS-01243 of client Brandt & Levie B.V. (COID: 85058). 
 Reason:
 During the unannounced audit conducted 29.07.2025 – 31.07-2025 auditor raised a major:
 Major on 4.3.2: 
 Deviation on final product labelling:
 - Observed a dried cured salami sausage with written statement/claim Wagyu beef of which only the 20% Wagyu Beef meat part was of Wagyu. The animal protein (muscle) parts of this product were of conventional beef species ",4.3.2,OK,
371,BANILA UkusNo.1 doo,"after Integrity on site check performed on 11 August 2025, detected Major NC at requirements 4.10.2, 4.20.2, 5.3.2 and KO at requirements 4.2.1.3 and 4.18.1.
 
 4.2.1.3 Specifications are not documented for all raw materials. E.g. missing for Oregano. On the software system, there are 127 raw materials used, however folder refers only 41 documents in the system. 
 4.10.2 Cleaning activities are not being carried out properly. Long-term dirtiness and ineffective cleaning are observed in productio","4.20.2, 4.18.1, 5.3.2, 4.2.1.3, 4.10.2",MULTIPLE,
372,ONE NATURE FRUITS S.L.,"Major NC has been detected int he requirement 4.13.1
 
 The pest control plan is ineffective.
 
 Rodents:
 According to the inspection report dated July 15, 2025: rodent consumption was detected indoors (bait no. 18). The corrective action indicated ""replacement of bait due to consumption."" No further actions were indicated. The certificate report indicates that ""placebo block"" is used for rodents. The situation assessment dated July 15, 2025 indicates that, regarding structural and construction",4.13.1,OK,
373,Ango Levante S.L.,"After an IFS IOC done on the 29th July 2025, 2 KOs and 1 Major NCs have been raised under the following requirements:
 2.3.9.1 KO failure of CCP checking
 4.12.2 Major: risk of contamination under the products
 4.18.1 KO: packaging traceability not fully guarantee.
 For that reason, the CB has decided to withdrawal the certificate.","4.18.1, 4.12.2",MULTIPLE,
375,Max Frischgeflügel und Spezialitäten GmbH,Opening of insolvency proceedings and non-entry into the existing contractual relationship acc.to Section 103 of the German Insolvency Code (InsO).,,MISSING,
377,Vimida OÜ,Certificate is held due to the lack of payment.,,MISSING,
378,Test T1,xxxxxxxxxxxxxxxxxxx,,MISSING,
379,Rübezahl Schokoladen GmbH,"5.1.1. - KO
 Not all relevant areas are covered by the internal audit programme. 
 For example, no internal audit was carried out in chocolate production; only a CCP audit was carried out on the production lines.
 In production, only site inspections are carried out (known as ‘hygiene rounds’ within the company).
 
 5.7.1 – Major
 1. On the third day of the audit, a functional test of the X-ray detector was demonstrated at 8:00 a.m. in the presence of the auditor. The stainless steel (VA) test p","5.7.1, 5.1.1",MULTIPLE,
380,Fleischwaren Berger GesmbH & Co KG,"4.5.3 Major:
 For a number of meat products made from broken goods (trimmings and miscuts, slices that are too small or broken), the lists of ingredients do not comply with the requirements of the LMIV (Article 18). 
 Worst-case ingredient lists are provided, which approximately correspond to the ingredients of the products used: Poultry ham trimmings (1973): The package (best before date: 11. Sep. 2025) actually contains chicken ham. The ingredient list includes turkey meat in addition to chick","4.18.1, 4.5.3",MULTIPLE,
381,AGRAFRESH BV,"MAJOR 4.9.4.1: 
 In high risk zone, washed vegetables are stored in plastic container (on hold) to be send later to the packaging line.
 During the visit in high risk zone it was seen that water droplets are falling from the ceiling on the cleaned vegetables which were stored under.",4.9.4.1,OK,
382,Freshrex Group OU,"KO 3.2.2 Personnel hygiene rules were not followed in several cases: 
 • Two employees noted in production (open product handling) wearing neck chain, one wearing earrings. 
 • One employee with beard no covered in the same area. 
 • Several employees had not all hairs covered at the same area. 
 • Two employees not in production (open product handling) used cap which did not covered all their hairs. Hair net was not used. 
 Major 3.4.1 Working clothes were stored together with personnel clothin","4.14.3, 5.10.1, 3.2.2, 4.19.2, 4.10.2, 4.18.1, 3.4.1, 5.11.3",MULTIPLE,
383,AGROALIMENTARIA DEL SUR S.A.,"During the Integrity On-site Check performed AGROALIMENTARIA DEL SUR S.A. - COID 10238 on 01 September 2025, was detected a Major Non-Conformity in the requirement 4.13.2.
 
 Description NC raised in the requirement 4.13.2: 
 
 The company has implemented a pest control and monitoring plan, managed by an external company, that includes crawling insects and rodents. Flying insects are controlled internally. The external company visits the facilities every month. The packaging warehouse area is in",4.13.2,OK,
384,"A+Z Rišňovský, Halász, s.r.o.","Auditor arrived to the site for the unannounced re-certification audit on 26th August 2025, although it became apparent in the opening meeting that the company communicated the audit dates as blocked periods, they gave consent to start the unannounced audit. On the second audit day, 27th August 2025, the company requested to stop the audit. For this reason, the audit has been considered cancelled according to IFS Food Doctrine section 1-4.2.1 and the certificate withdrawn. A new full IFS Food au",,POTENTIAL_MISS,
385,CHAVEGRAND S.E.,"Following an epidemiological investigation, the health authorities (DDPP, DGAL/MUS) established that the company SE Chavegrand could be implicated in cases of listeriosis in France and Europe.
 
 As a result, on August 9, 2025, a large number of product batches placed on the market were recalled as a precautionary measure. This recall follows a previous recall on June 13, 2025, linked to the detection of Listeria monocytogenes in a pasteurised soft cheese.
 
 We have taken note of the certified ",,POTENTIAL_MISS,
386,Friall s.r.o.,"3.2.2 KO
 The rules for personal hygiene and behaviour are not fully applied, during the site tour observed:
 1. employee eating in the lockers which was having on working protective clothes
 2. there are not clearly described rules of wearing/not wearing working protective clothes in clean and non-clean area; also during the site assessment observed shift-leader from clean area in non-clean area with wearing working protective clothes without any protection
 3. rules for employees having lunch ","3.2.2, 4.9.3.1, 4.9.6.1, 4.9.1.1, 4.17.5, 4.9.2.1, 5.11.3",MULTIPLE,
387,Peter Kölln GmbH & Co. KGaA,"Due to a fire on the company premises, production is currently stopped.",,MISSING,
388,Pekan Leipä Oy,"During the audit completed on site on 20-22/08/2025 the following Major NC was identified:
 2.3.11.1 Major NC: Validation of metal detector SN 2024-2387-C1not sufficient for test piece NFE in use 1.75mm; indeed, functionality test performed 3x3 times during audit showed that the rejection of packages was not done sufficiently in all tests - at normal product flow speed. Note: the validation was done for NFe piece 2mm. MD is not a CCP.",2.3.11.1,OK,
390,Gebr. Bertrams GmbH & Co. KG,"• KO rating for the requirement 1.2.1: Due to the quantity and type of deviations found at the time of the Integrity on-site Check, it was determined that the management responsibility with regard to HACCP & QM, among other things, is not sufficient to effectively implement the IFS standard. As this is an essential requirement of the standard and a rating of B would not be plausible, a KO rating is justified from the IFS perspective.
 
 • KO rating for the requirement 4.18.1: The data and photos","4.18.1, 1.2.1, 5.1.1",MULTIPLE,
391,PROCUBITOS EUROPE S.L.,"During the audit performed on 2nd September 2025 to 3rd September2025, it was detected a Major non-conformity under the requirement 4.17.4.
 
 Major non-conformity 4.17.4.
 During the visit to the warehouse where line 4 (mojito plant) is located, the ice forming process is verified. NCMayor: Protection for volumetric filling equipment is in poor condition. This is a blue plastic structure that can come loose and is located just above the ice bag filling point. This
 equipment is the only one tha",4.17.4,OK,
392,Werk Muster KG,Test locking,,MISSING,
393,ALIBONA AG,Alibona will definitively cease its activities on 4 September 2025 and the AG will be dissolved.,,MISSING,
394,CEDROB FOODS S.A.,After fire in Mai production wasn't launched yet at the plant. Full scope of production will be not reinstated.,,MISSING,
395,KROP SINGLE MEMBER S.A,"Failure of the client to comply with the Q-CERT contract terms and conditions, non-response to emails/telephone callings, and non-payment of fees.",,MISSING,
396,AGROEJIDO S.A.,"KO 5.11.3:
 The company has not properly closed the previous action plan. Seven of the ten deviations assigned in the previous audit are repeated, and the corresponding corrective actions detailed in the previous action plan have not been carried out. The requirements in which the deviations are repeated or the corrective actions have not been closed are as follows: 3.2.2; 4.12.10; 4.9.4.1; 4.10.5; 5.5.2; 3.3.4 and 5.9.1.","3.3.4, 5.5.2, 3.2.2, 4.10.5, 5.9.1, 4.12.10, 4.9.4.1, 5.11.3",MULTIPLE,
397,FAMIGLIA DI PASTA SA,"IFS Integrity check performed on 02/09/2025. 2 KOs and 2 Majors raised during this check. 
 3.2.2 KO: During the Integrity On-site Check, various deviations from personal hygiene requirements were identified, which led to this rating:
 - The company has an internal requirement that a face mask (surgical mask) must be worn. During the two inspections, it was found that face masks were not worn 8-10 times in the kitchen and dough processing areas, and in 5-6 cases, they were only worn over the mou","2.3.9.2, 3.2.2, 5.5.2",MULTIPLE,
398,LOYEV PONT 2003 S.L.,"During the Integrity On-site check carried out on 27th of August 2025, the auditor raised 3 Major NC in the following requirements: 4.5.2 The company was using 100% recycled paper napkins as grease absorbers in direct contact with the product in their packed trays on the day of the audit (meat stuffed peppers). There is no evidence that the company has assessed the conformity of this food contact material in their raw material/supplier approval procedures. 
 They purchase the product from a reta","4.5.2, 4.19.1, 4.13.2",MULTIPLE,
399,OMEGA SPICE S.L,"During the audit carried out on 19th & 20th of August, the auditor raised a Major NC in the requirement 4.14.3: During the inspection, several pallets of raw material consisting of paprika husks and other species were found to contain insects in the storage area (insects that had hatched during storage). The company does not appear to be taking any immediate action on these products to prevent them from being processed (such as blocking, identification, separation, destruction, treatment, etc.).",4.14.3,OK,
400,Frio Food Snacks b.v. .,"KO on 2.3.9.1: Seen during the factory tour on the second audit day 26-08-2025 that there was no record of CCP 1; core temperature after heating of bought-in bags with sauce which is used for the production of ""bamischijf oriental"", recipe F26, and seen that also temperature records of the same heated bought-in sauce were missing on 12-02-2025 and 3-2-2025.",,MISSING,
402,"ESTEVÃO LUÍS SALVADOR, LDA .","Chapter 4.2.1.2 (Specifications): MAJOR
 „The company does not have a procedure in place to assure that the product specification and the label information was correctly transposed to the product recipe of the soup “Sopa Camponesa 800 g Chef Select”: e.g. in the list of ingredients on the label it is indicated 11.2% and in the recipe (“Composição de Sopas V Gama – v.07 de 11/02/2025) and in the production order “Folha de produção de V gama” from the 05/05/2025, the percentage indicated is 13.5% ",4.2.1.2,OK,
403,Vermeiren Princeps NV,"Major Against 4.10.2
 During the site tour evidence was found of not effectively cleaned facilities and equipment.
 - the Line 5 was not used in the past month, but not properly cleaned
 - the covering on dough line 1 'kneder' on spill was not cleaned since last thursday
 - the covering on dough line 2 ""kneder"" was not cleaned since last week
 - a bucket of water was found in the packaging zone near to the grinding line
 - the disinfection chemical is not longer in use (biocid declaration has be",4.10.2,OK,
404,EXPLOTADORA DE MANANTIALES S.L.,"During the recertification audit, a major nonconformity was detected in requirement 5.5.1.:
 
 It has been verified that the company performs effective content checks every 30 minutes, analyzing only 2 samples per interval, resulting in a total of 32 units per batch in an 8-hour workday. This sampling frequency is insufficient for batches exceeding 3,201 units, as established by Royal Decree 1801/2008, which requires a minimum of 80 units per batch to ensure control.
 Example: In the online fini",5.5.1,OK,
405,endori food Company GmbH & Co.KG,The audit was stopped at the request of the company.,,POTENTIAL_MISS,
406,EUROMILK a.s.,"On 14 AUG 2025 an Integrity On-site check was carried out at the company EUROMILK a.s. COID 59683.
 
 In this Integrity On-site Check, several non-conformities were identified against the following IFS-Food v8 requirement(s):
 
 
 Major NC - requirement 4.21.2
 
 Gate to the milk receipt area was open most of the day (at 08:00, at 11:30 and at 13:55). Majority of doors to the chemical storage areas, expedition area, production areas were unlocked, open, in several cases with keys in lock from ex","4.18.1, 4.21.2, 4.10.2, 5.4.2, 4.13.2",MULTIPLE,
407,SIMID AGRO EOOD,"The following non-conformities have been raised during the IFS Food re-certification audit on 27-29/08/2025 at SIMID AGRO EOOD - COID 60271:
 
 Major non-conformity (requirement 4.13.4):
 Crawling insects were observed in Corpus 3:
 (1) on the first floor at Workshops 1 and 2, near the raw material storage area,
 (2) on the first floor in the area between the exit of kneading cameras and rotary ovens,
 (3) on second floor, near the entrance and near the mixing area of a non-operating frozen prod","4.13.4, 4.19.2, 5.11.3",MULTIPLE,
408,PINSAMI SRL,the company stopped production and will not renew certificate,,MISSING,
410,"Zakład Przetwórstwa Mięsno - Rybnego ""Kari"" Wiesław Pluta .",No payment for the audit done,,MISSING,
411,PASTIFICIO FIORILLO SAS DI FIORILLO MICHELE & C. sas,The suspension was decided due to the failure to pay invoices relating to activities already carried out by Certiquality S.r.l.,,MISSING,
412,Akdag B.V.,"2.3.9.1
 NC: During the audit the control of metal detector was assessed at beginning of production. During the test it was seen that the testing piece passed the detector without alarm/bandstop. After changing the settings of the detector to another 'productcode' the test piece was detected. However there were only 3 test pieces present, all for Ferreous ( 3.5, 4.0 and 4.0mm), there were no test pieces for Non-FE or SS present. After further assessment of production and returning to the detecto",,MISSING,
415,LEGUMBRES SELECTAS SIERRA NEVADA SL,"During the audit performed on 2nd September 2025 to 3rd September 2025, it was detected a KO under the requirement 2.3.9.1.
 
 KO 2.3.9.1.
 The company has identified two Critical Control Points in its HACCP:
 CCP1 in the selection phase for vision and laser cameras. At the beginning and end of each shift, samples of clods, limestone and sandstone are passed through the vision equipment (Urbano and Jubus line).
 CCP2 in the metal detector phase. The 1 mm Fe, 1 mm non-Fe, 1 mm SS and 1 mm alumini",,POTENTIAL_MISS,
417,AVECOX S.L,"During the audit completed on site on 26-27/08/2025 the following Major NCs and KO were identified:
 
 4.12.2 Major:
 During the plant tour, it was observed that liquid was dripping from the ceiling of chamber 3, falling directly onto unprotected products (chicken carcasses) stored in plastic boxes in that chamber, posing a risk to the safety of the aforementioned product.
  
 4.18.1 KO 
 During the plant tour on 26 August 2025, it was observed that batch 906237 of the product ‘Half chicken, spl","4.18.1, 4.12.2",MULTIPLE,
418,Epices Fuchs SARL,Production shutdown,,MISSING,
419,INDUSTRIAS CÁRNICAS CAMPOHERMOSO S.L.,"Given the impossibility of carrying out the mandatory unannounced audit as a result of denying the auditor access to the premises, which was scheduled for 27-28-29 August, the certificate has been withdrawn.",,MISSING,
422,MANI FOODS S.A.,Failed integrity onsite check,,MISSING,
425,Verbau France SAS,"During the audit completed on site on 25-26-27/08/2025 the following Major NCs and KO were identified:
 4.9.10.1 Major:
 A screw compressor is used to supply compressed air for blowing out glass jars (indirect food contact), which are later filled with desserts based on cake, fruit jelly, and toppings. The lubricant used in the air compressor is not food-grade. Three types of filters are installed downstream of the air compressor, but no active carbon filter to avoid the contamination of aerosol",4.9.10.1,OK,
427,NETUNO INTERNACIONAL S.A.,"During the IFS Food audit conducted between August 12 and 14, 2025, the following non-conformities were identified:
 
 Req. 4.19.1 (Major): Evidence found inside processing chamber 01 of the presence of the product: “Frozen seasoned fish steak, pre-fried” SIF 5456, on an exposed and divided white tray, next to the trays of tilapia fish (frozen fillets and steaks), which were open (drying stage).
 Evidence inside the frozen product storage chamber of a box containing packages of frozen seasoned f",4.19.1,OK,
428,"CAMPOS DE LA MANCHA, SOC.COOP. DE CLM F72416050","3.2.2. KO. DV 2025. Numerous cigarette butts are observed both outside (dumping area) and inside (packaging material warehouse), and the smell of tobacco is detected in the dining area. Food wrappers (pastries) are detected next to the handling line. Hygiene regulations do not allow smoking on the premises or eating outside the designated areas. Repeated non-compliance with the previous audit.
 
 4.14.3. MAYOR DV2025 Final product containers are stored outdoors without any protective measures. D","4.14.3, 4.18.4, 3.2.2, 5.5.1, 4.14.5, 5.11.3",MULTIPLE,
430,CÁRNICAS IRUÑA S.A.,"During the recertification audit, a major nonconformity was detected in requirement 5.10.1.:
 
 The application of the non-conforming product management procedure PR02 Ed14 is not ensured, as observed in the plant and in the interview with the person in charge. Non-conforming products are not identified with the corresponding sign or stored in the assigned location (ham chamber), which does not guarantee their protection against use.
 The audit findings are detailed below:
 In the cold room, the",5.10.1,OK,
431,GLOBAL CLAMS SU ÜRÜNLERİ SAN. Ve TİC. Ltd. ŞTİ.,"The Canakkale Provincial Directorate of Environment, Urbanization and Climate Change has decided to temporarily suspend operations at the site, pending the completion of the EIA Project file and the facility has been sealed as of 25/08/2025. Due to the fishing ban, the site is not currently producing any products during this suspension. This situation is entirely due to the administrative processes conducted by the official authorities. Once the EIA file is completed and necessary permits obtain",,MISSING,
432,FRESH INN MOROCCO SARL,Discontinuation of production at this site and relocation to a new site,,MISSING,
433,IMPERIAL MEAT Sp. z o.o.,Certificate is held due to the lack of payment,,MISSING,
434,"""Ganja Sharab-2"" JSC -",Company did not react to extension audit even they produce that products. They did not want to take the audit and extension audit deadline is overdue. That`s why we lock the certificate.,,MISSING,
435,PEKAŘSTVÍ POD POŠTOU s.r.o.,"MAJOR: 
 
 3.1.1
 The IFS representative (owner) is not sufficiently familiar with the requirements of the standard, she is not very well versed in the relevant food legislation. The documented education in the given area is the HACCP training completed in 2024, which is not sufficient for a full understanding and effective application of the complex requirements of the IFS standard. Insufficient qualification is the cause of some deviations in the 2025 audit report.",3.1.1,OK,
436,Roxane Nord Source Saint Jean Baptiste SAS,Cessation of site activity,,MISSING,
439,H. von der Stein GmbH,"KO 4.17.1: On October 8, 2025, according to delivery note No. 17825, a quantity of
 5,500 kg of the potato variety Madeira was delivered. However, 10,000
 kg was recorded in the inventory system under internal batch number
 1034. From October 10, 2025, to October 15, 2025, a total of 10,160 kg
 was dispatched from batch 1034. This means that 4,660 kg more was
 dispatched from batch 1034 than was received.
 On October 10, 2025, according to delivery note No. 17842, 12,180 kg
 of the Madeira varie",4.17.1,OK,
440,Coli S.p.A.,Outstanding Payment,,MISSING,
441,Falcon Marine Exports Limited,Late notification by the certified site of containers import refusal due to presence of Nitrofuran Residue(AOZ). Date of incidents: 07/04/2025 - 09/10/2025. Lack of transparency and failure to adequately address the root cause and implement effective preventative measures,,MISSING,
442,LES MOULINS DE CHERISY-LETHUILLIER SAS,"During the audit and verification of the inventory records for a raw material, it was found that traceability was neither guaranteed nor documented for the batch of alpha amylase enzymes, product reference 5005, batch number 144500, with a best-before date of October 30, 2025. This batch was received in a quantity of 25 kg, but computer records show consumption of 3.3 kg of the product used for the manufacture of organic soil improver mixes. The inventory on the day of the audit showed a stock l",,MISSING,
443,NAFA Feinkost GmbH,"KO 5.1.1: A risk assessment on the basis of which activities critical to food safety and product quality are audited more frequently is not available. An internal audit for process validation was planned in the area of management. Here, the relevant points for process validation were deleted. As a result, no effective internal audit programme has been documented, implemented and maintained to ensure that at least all standard requirements of the IFS standard are audited.
 
 KO 5.11.3: Not all co","4.3.4, 5.11.3, 4.4.1, 5.1.1",MULTIPLE,
444,SANT DOMENEC-CENTRO POB SOCIEDAD COOPERATIVA,"MAJOR NC 5.4.1: The site has two scales for labeling bags with weight and price markings. These scales lack metrological verification. For example, the Ulma scale ID 2675. Furthermore, an assessment of the conformity of the TW scale, manufactured by GIROPES and serial number 3206000159, revealed its incompatibility for weighing 500g packages.",5.4.1,OK,
445,CHARAL SURGELES,"During the IFS Food audit carried out from 24 to 26/11/2025, a KO was issued regarding requirement 5.11.3:
 1) Seven internal audit reports were observed: Design audit dated 18/11/2025; Purchasing audit dated 28/11/2024; Cleaning audit dated 19/11/2025; Ready-made meals audit dated 13 and 17/11/25; Stuffed products audit dated 8/7/2025. Deviations were observed. 18 actions were not defined 
 2) Six hygiene inspections were observed: 14/08/25 (Maintenance); Environment (13/2/25), Ready meals (2/1",5.11.3,OK,
446,DeliBarn Wommelgem NV,"K.O. - 5.11.3 
 It has been established that the action list, used to follow up on actions arising from internal audits, internal findings, findings made by authorities, external audits, etc. has not been sufficiently followed up within acceptable time frames. Furthermore, the CAPA list used, does not show the immediate correction, only the preventive measure is described, and this is then in the longer term.",5.11.3,OK,
447,SALICA INDUSTRIA ALIMENTARIA S.A.,"During the IFS Food unannounced audit performed from 17 to 20 November, the auditor has detected 2 KO Non Conformities and 1 Major Non Conformity in the following requirements: 2.3.9.1 (KO): The auditor performs a traceability exercise after selecting a product on the first day of the audit. 
 Product: FCO A CLARO A OLIVA 720x970ml CAMPOS; Batch LD203YO. Date of manufacture: 07/22/2025. Quantities manufactured: 1185 jars. It is defined in HACCP rev. 46 of 09/18/2025, after the corresponding haza","5.11.3, 4.3.2",MULTIPLE,
448,CARNES Y VEGETALES SL,"4.12.1 KO: During the visit to the plant to audit the glass packaging process, pieces of glass from the containers were found on the floor of the filling machine where the product is opened, and a piece of glass was found inside the filling machine itself. There is no record of this breakage in the work reports, nor is there any evidence that the procedure for dealing with breakages has been followed, which involves removing 14 containers in front of and behind the broken container, thoroughly c",4.12.1,OK,
449,"Alibona, a.s.","The following non-conformities have been raised during the IFS Food extension audit on 10-11-2025 at Alibona, a.s. - COID 17283.
 
 
 Non-conformity type: Major non-conformity
 IFS Food v8 requirement 1.2.6
 Penalty of 100.000 CZK has been issued for not implementing effectively the corrective actions required by the food authority applicable to finding of the previous visits in 18/03/2025, 05/05/2025 and 26/06/2025 related to non-conformities against the food hygiene regulation 852/2004 require","4.12.2, 4.17.2, 1.2.6",MULTIPLE,
450,Werner Lauenroth Fischfeinkost GmbH GmbH,"4.14.1:
 Major non-compliance:
 1. Upon receipt of frozen shrimp 50/60, Ch. 250730, delivered on
 November 7, 2025, supplier DKSH, the temperature was measured at -
 7.4°C according to the documentation on the delivery note. According to
 internal specifications in the document Goods Receipt Inspection AA 3-
 04, A-12/24, the goods receipt temperature for frozen goods should be
 between -18 and -23°C. According to the Regulation on Frozen Foods
 (TLMV), § 2 Requirements for Manufacturing and Han","4.14.1, 5.11.3",MULTIPLE,
451,Prominent CZ s. r. o.,"Major nonconformity to requirement 4.9.4.1: 
 In the areas where free-hanging products are cooled after heat treatment, condensate was observed dripping from the ceiling directly onto the finished product before packaging (turkey sausages). Furthermore, in the areas where meat is injected, an ice coating was observed on the supply pipe with coolant to the cooling unit above the area where open stainless steel laska trolleys with meat pickled in brine intended for further processing are kept.",4.9.4.1,OK,
452,Bakery World Kft.,"During the audit completed on site on 03-04/12/2025 the following KOs were identified at:
 
 1.2.1 - KO
 There is a lack of resource allocation. During the audit, it was found that some tasks assigned to the quality manager had not been completed, such as preparing and uploading all specifications for the products produced by the owner's companies in Belgium and the Czech Republic to B2B portals, preparing the risk assessment of the service providers and reviewing the vulnerability assessment. I","4.18.1, 1.2.1",MULTIPLE,
454,NAMET GIDA SANAYI VE TICARET A.S.,"The presence of a cat within the production and spice storage areas constitutes a serious violation of hygiene and food safety protocols, directly compromising product integrity and consumer safety.
 As per IFS Food Standard clause 4.13.1, such a finding is considered a Major Non-Conformity, warranting suspension of the certificate.",4.13.1,OK,
455,MERIAN Foods Élelmiszeripari Kft.,Major NC 4.8.3.,4.8.3,OK,
457,AXIANE MEUNERIE - Site de Gallardon SAS,"Item : 2.3.9.3
 During the visit to the facilities on 27/11/2025 the packing of 25 kg bags was checked. Before starting bagging the bagger tested the metal detector by passing the 3 test pieces (stainless steel: 3 mm, ferrous: 2 mm, non-ferrous: 2.5 mm) on the belt without any product. Attached to the metal detector there is an instruction “CCP No. 4, metal detector” rev. 16 dated 11/06/2022 which only indicates “pass the test pieces” with no other guidance and with a frequency of 4 times/day.
 ",2.3.9.3,OK,
